Date,Content,Video title,Video publish time,Duration,Stayed to watch (%)
2011-10-10,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-11,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-12,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-13,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-14,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-15,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-16,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-17,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-18,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-19,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-20,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-21,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-22,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-23,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-24,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-25,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-26,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-27,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-28,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-29,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-30,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-31,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-11-01,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-11-02,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-11-03,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-11-04,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-11-05,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-11-06,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-11-07,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-11-08,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-11-09,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
