Date,Subscribers
2025-05-27,15796
2025-05-28,15814
2025-05-29,15833
2025-05-30,15842
2025-05-31,15849
2025-06-01,15854
2025-06-02,15879
2025-06-03,15904
2025-06-04,15925
2025-06-05,15935
2025-06-06,15947
2025-06-07,15956
2025-06-08,15965
2025-06-09,15976
2025-06-10,15983
2025-06-11,16000
2025-06-12,16015
2025-06-13,16023
2025-06-14,16032
2025-06-15,16043
2025-06-16,16055
2025-06-17,16060
2025-06-18,16068
2025-06-19,16082
2025-06-20,16091
2025-06-21,16095
2025-06-22,16109
2025-06-23,16115
2025-06-24,16130
2025-06-25,16140
2025-06-26,16153
2025-06-27,16159
2025-06-28,16169
2025-06-29,16178
2025-06-30,16185
2025-07-01,16194
2025-07-02,16207
2025-07-03,16212
2025-07-04,16222
2025-07-05,16228
2025-07-06,16240
2025-07-07,16303
2025-07-08,16374
2025-07-09,16402
2025-07-10,16421
2025-07-11,16444
2025-07-12,16459
2025-07-13,16487
2025-07-14,16523
2025-07-15,16542
2025-07-16,16557
2025-07-17,16592
2025-07-18,16610
2025-07-19,16628
2025-07-20,16635
2025-07-21,16666
2025-07-22,16684
2025-07-23,16705
2025-07-24,16728
2025-07-25,16735
2025-07-26,16750
2025-07-27,16768
2025-07-28,16789
2025-07-29,16800
2025-07-30,16814
2025-07-31,16830
2025-08-01,16839
2025-08-02,16846
2025-08-03,16869
2025-08-04,16884
2025-08-05,16903
2025-08-06,16918
2025-08-07,16927
2025-08-08,16931
2025-08-09,16937
2025-08-10,16941
2025-08-11,16954
2025-08-12,17027
2025-08-13,17031
2025-08-14,17043
2025-08-15,17087
2025-08-16,17099
2025-08-17,17122
2025-08-18,17138
2025-08-19,17157
2025-08-20,17172
2025-08-21,17180
2025-08-22,17188
2025-08-23,17194
2025-08-24,17208
2025-08-25,17216
2025-08-26,17224
2025-08-27,17233
2025-08-28,17250
2025-08-29,17266
2025-08-30,17286
2025-08-31,17301
2025-09-01,17304
2025-09-02,17311
2025-09-03,17320
2025-09-04,17328
2025-09-05,17334
